aaliyah-puglia	https://ew.com/thmb/elDCwUFJPjMEyXUSZlK-76XRyFo=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-01-790e88d62e604cbda6f5f19b59d91b13.jpg
alexis-levine	https://ew.com/thmb/ao2bLAD-Rz_vRnZD3-zCpc3qGoo=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-02-a7ce9a9c80ac487198c25c6d13d86b53.jpg
thien-an-nguyen	https://ew.com/thmb/q0uDjQglUyD865UNMH2hXm37Hgo=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-18-32d004b090804720aeb4ff36c31249b8.jpg
ana-sani	https://ew.com/thmb/QrN9evtudMkaUBdbmHB-Q77q6XE=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-03-175baed745b7475da14ded004ccd075c.jpg
jelly-loblack	https://ew.com/thmb/aFd19zeZic32blSNudnnGoTz_3I=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-19-84f5b92c5ce04c97ae96c34233a8d709.jpg
brady-booker	https://ew.com/thmb/Htomw-Q5yLo_XYuuMjMkmXU9zQs=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-04-25746d0986cc4b15b4a8da3e7cb74f47.jpg
carter-krull	https://ew.com/thmb/lZIonG9ZCyz8stIbKZ9-9MREl58=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-05-228faffee5d447e9b9648c00a4a4a8e9.jpg
cristian-chavez	https://ew.com/thmb/9ynWCnayXU4JvrD_uAajVkRD05g=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-06-52979d7c8587427aa470a84f3292d435.jpg
danny-kilby	https://ew.com/thmb/hDA9vUwL9T5xTIYHO5CIasJx5Bo=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-20-8225a80fea7f4fb3a05d71738e288103.jpg
devin-way	https://ew.com/thmb/WPO_YQrcClQmOegXeMBNZtQWan4=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-21-d57a82aa970240b084e3ae996e13435a.jpg
eric-macksoud	https://ew.com/thmb/2wm8Iukhf58pjNNPb1rfulA9JsU=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-07-594778d1d23544be9aee403062ca04dc.jpg
jenna-doore	https://ew.com/thmb/ytVA-AQPucU39OUISBe0Pa6k9vA=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-08-4513eb6175cf42c2a6c5a511de07b453.jpg
kristin-flickinger	https://ew.com/thmb/AJCnX9b44SCi8A2myq8ePAKK9lE=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-09-81481aa8ae7f4d8f8a1ada148e95d9bc.jpg
lewis-kelly	https://ew.com/thmb/eUk7pVF0USxQFgXF7pG2CLmEKmc=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-10-b3b9384f51ab45c6a596e8c32a4eb1ff.jpg
linnea-capobianco	https://ew.com/thmb/C7DNo8zp5iIj8YqwAlTVIIe02Us=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-11-cfffba23df26487e9fdb78ef5b5f538a.jpg
maggie-nestor	https://ew.com/thmb/cEFolLpdOSGrQA-3LOCOGzu2C2k=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-12-3f959d42be094f7d92a69a26f6305e28.jpg
mike-pinsky	https://ew.com/thmb/w8sC0EW4LEMVQmu2otIA8AyOQb8=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-13-9857413ef3ac4301b5fc37d368959392.jpg
ori-jean-charles	https://ew.com/thmb/kNEt1UR1jLhxBGcupN3F6bOmFzw=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-14-e76040ef13744706bc6be0204e670132.jpg
patt-cannaday	https://ew.com/thmb/I3y9XpV-efQkulPN4cab-aQTZFU=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-15-a0d5e80bef594f33bcdb48d57ba17081.jpg
rob-antonson	https://ew.com/thmb/BP3_DOtNVKH1ISZRrzU7hoKPZYc=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-16-cba6842a47cf487d9a5cc732090ae95f.jpg
sharonda-cox	https://ew.com/thmb/N0BrBlG-kJ3g1wbSjg6pysJORkE=/2000x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Survivor-Full-17-d0a3523ab0484080afcd3bbcdb877583.jpg
